[2024-05-23 19:12:06] EDIT crm/views/default/personal.html: -1
[2024-05-23 19:16:14] EDIT crm/views/default/personal.html: 23
[2024-05-23 19:16:32] EDIT crm/views/default/personal.html: -23
[2024-05-23 19:17:36] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:17:52] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:18:12] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:18:36] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:18:52] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:18:57] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:20:24] EDIT crm/views/default/personal.html: 1
[2024-05-23 19:20:35] EDIT crm/views/default/personal.html: -1
[2024-05-23 19:21:14] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:23:32] EDIT crm/views/default/personal.html: 23
[2024-05-23 19:24:12] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:27:00] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:28:18] EDIT crm/views/default/personal.html: 2
[2024-05-23 19:29:56] EDIT crm/views/default/personal.html: -1
[2024-05-23 19:31:35] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:32:55] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:35:43] EDIT crm/views/default/personal.html: 9
[2024-05-23 19:37:09] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:37:52] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:39:19] EDIT crm/views/default/personal.html: 6
[2024-05-23 19:39:36] EDIT crm/views/default/personal.html: -6
[2024-05-23 19:39:52] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:46:05] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:46:34] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:46:41] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:46:55] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:47:20] EDIT crm/views/default/personal.html: 0
[2024-05-23 19:47:37] EDIT crm/views/default/personal.html: 0
[2024-05-28 18:32:47] EDIT crm/views/default/personal.html: -12
[2024-05-28 18:32:49] EDIT crm/models/db_crm.py: 12
[2024-05-28 18:32:51] EDIT crm/controllers/default.py: 11
[2024-05-28 18:33:56] EDIT crm/models/db_crm.py: 0
[2024-05-28 18:34:27] EDIT crm/controllers/default.py: 0
[2024-05-28 18:37:48] EDIT crm/models/db_crm.py: -2
[2024-05-28 18:38:25] EDIT crm/controllers/default.py: 0
[2024-05-28 18:38:41] EDIT crm/views/default/personal.html: 12
[2024-05-28 18:38:43] EDIT crm/models/db_crm.py: 0
[2024-05-28 18:38:45] EDIT crm/controllers/default.py: 0
[2024-05-28 18:42:35] EDIT crm/models/db_crm.py: 0
[2024-05-28 18:42:54] EDIT crm/controllers/default.py: 0
[2024-05-28 18:43:19] EDIT crm/views/default/personal.html: 0
[2024-05-28 18:43:35] EDIT crm/views/default/personal.html: 0
[2024-05-28 18:43:37] EDIT crm/models/db_crm.py: 0
[2024-05-28 18:43:39] EDIT crm/controllers/default.py: 0
[2024-05-28 18:46:05] EDIT crm/controllers/default.py: 0
[2024-05-28 18:47:56] EDIT crm/models/db_crm.py: 0
[2024-05-28 18:48:37] EDIT crm/views/default/personal.html: 0
[2024-05-28 18:48:39] EDIT crm/models/db_crm.py: 0
[2024-05-28 18:48:40] EDIT crm/controllers/default.py: 0
[2024-05-28 18:54:00] EDIT crm/views/default/personal.html: 0
[2024-05-28 18:54:51] EDIT crm/views/default/personal.html: 0
[2024-05-28 18:55:24] EDIT crm/models/db_crm.py: 0
[2024-05-28 18:55:58] EDIT crm/controllers/default.py: 0
[2024-05-28 18:56:50] EDIT crm/views/default/personal.html: 0
[2024-05-28 18:59:41] EDIT crm/models/db_crm.py: 0
[2024-05-28 19:00:51] EDIT crm/models/db_crm.py: 0
[2024-05-28 19:00:57] EDIT crm/models/db_crm.py: 0
[2024-05-28 19:06:56] EDIT crm/controllers/default.py: 0
[2024-05-28 19:08:23] EDIT crm/models/db_crm.py: -2
[2024-05-28 19:10:37] EDIT crm/views/default/personal.html: 0
[2024-05-28 19:11:30] EDIT crm/controllers/default.py: -11
[2024-05-28 19:13:30] EDIT crm/controllers/default.py: 0
[2024-05-28 19:25:20] EDIT crm/controllers/default.py: 31
[2024-05-28 19:25:43] EDIT crm/controllers/default.py: -31
[2024-05-28 19:26:25] EDIT crm/models/db_crm.py: -1
[2024-05-28 19:30:10] EDIT crm/controllers/default.py: 9
[2024-05-28 19:30:34] EDIT crm/models/db_crm.py: 2
[2024-05-28 19:33:25] EDIT crm/controllers/default.py: 0
[2024-05-28 19:35:22] EDIT crm/models/db_crm.py: 0
[2024-05-28 19:39:31] EDIT crm/models/db_crm.py: 0
[2024-05-28 19:39:35] EDIT crm/controllers/default.py: 0
[2024-05-28 19:41:41] EDIT crm/models/db_crm.py: 0
[2024-05-28 19:42:04] EDIT crm/models/db_crm.py: 1
[2024-05-28 19:42:07] EDIT crm/models/db_crm.py: 0
[2024-05-28 19:42:34] EDIT crm/models/db_crm.py: -1
[2024-05-28 19:43:26] EDIT crm/models/db_crm.py: 0
[2024-05-28 19:45:51] EDIT crm/controllers/default.py: 4
[2024-05-28 19:47:28] EDIT crm/models/db_crm.py: -2
[2024-05-28 19:47:36] EDIT crm/controllers/default.py: -13
[2024-05-28 19:47:38] EDIT crm/models/db_crm.py: 0
[2024-05-28 19:47:58] EDIT crm/controllers/default.py: 0
[2024-05-28 19:54:37] EDIT crm/models/db_crm.py: 2
[2024-05-28 19:59:23] EDIT crm/views/default/personal.html: 0
[2024-05-28 20:00:59] EDIT crm/controllers/default.py: 0
[2024-05-28 20:01:02] EDIT crm/models/db_crm.py: 0
[2024-05-28 20:01:04] EDIT crm/views/default/personal.html: 0
[2024-05-28 20:02:09] EDIT crm/controllers/default.py: 19
[2024-05-28 20:02:32] EDIT crm/controllers/default.py: 0
[2024-05-28 20:02:34] EDIT crm/models/db_crm.py: 0
[2024-05-28 20:04:19] EDIT crm/controllers/default.py: 0
[2024-05-28 20:09:08] EDIT crm/controllers/default.py: 10
[2024-05-28 20:14:32] EDIT crm/controllers/default.py: -8
[2024-05-28 20:17:35] EDIT crm/views/default/personal.html: -31
[2024-05-28 20:21:43] EDIT crm/models/db_crm.py: 0
[2024-05-28 20:27:05] EDIT crm/models/db_crm.py: -1
[2024-05-28 20:27:44] EDIT crm/views/default/personal.html: 0
[2024-05-28 20:27:46] EDIT crm/models/db_crm.py: 0
[2024-05-28 20:27:48] EDIT crm/controllers/default.py: 4
[2024-05-28 20:30:44] EDIT crm/controllers/default.py: 0
[2024-05-28 20:35:39] EDIT crm/controllers/default.py: -1
[2024-05-28 20:38:10] EDIT crm/views/default/personal.html: -28
[2024-05-28 20:41:40] EDIT crm/controllers/default.py: -2
[2024-05-28 20:43:28] EDIT crm/views/default/personal.html: 0
[2024-05-28 20:43:47] EDIT crm/controllers/default.py: 5
[2024-05-28 20:45:44] EDIT crm/controllers/default.py: 15
[2024-05-28 20:46:46] EDIT crm/views/default/personal.html: 20
[2024-05-28 20:56:21] EDIT crm/controllers/default.py: -13
[2024-05-28 20:56:22] EDIT crm/models/db_crm.py: 0
[2024-05-28 20:56:33] EDIT crm/controllers/default.py: 8
[2024-05-29 17:50:30] EDIT crm/models/db_crm.py: 1
[2024-05-29 17:53:01] EDIT crm/models/db_crm.py: 0
[2024-05-29 17:53:25] EDIT crm/models/db_crm.py: 0
[2024-05-29 17:53:51] EDIT crm/models/db_crm.py: 0
[2024-05-29 17:55:13] EDIT crm/models/db_crm.py: 0
[2024-05-29 17:55:58] EDIT crm/models/db_crm.py: 0
[2024-05-29 17:57:01] EDIT crm/views/default/personal.html: -1
[2024-05-29 17:57:04] EDIT crm/models/db_crm.py: 0
[2024-05-29 17:57:06] EDIT crm/controllers/default.py: -10
[2024-05-29 18:00:38] EDIT crm/views/default/personal.html: 0
[2024-05-29 18:03:31] EDIT crm/models/db_crm.py: 1
[2024-05-29 18:03:40] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:06:15] EDIT crm/models/db_crm.py: -1
[2024-05-29 18:06:37] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:07:31] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:07:45] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:08:04] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:11:49] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:12:31] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:13:41] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:15:05] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:15:12] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:21:56] EDIT crm/models/db_crm.py: 1
[2024-05-29 18:27:48] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:29:23] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:29:52] EDIT crm/models/db_crm.py: 0
[2024-05-29 18:33:32] EDIT crm/models/db_crm.py: 3
[2024-05-29 18:33:55] EDIT crm/models/db_crm.py: -2
[2024-05-29 18:34:52] EDIT crm/models/db_crm.py: 2
[2024-05-29 18:35:24] EDIT crm/models/db_crm.py: -2
[2024-05-29 18:35:49] EDIT crm/models/db_crm.py: 2
[2024-05-29 18:38:26] EDIT crm/models/db_crm.py: -2
[2024-05-29 18:38:35] EDIT crm/models/db_crm.py: 2
[2024-05-29 18:39:03] EDIT crm/models/db_crm.py: -2
[2024-05-29 18:39:26] EDIT crm/models/db_crm.py: 2
[2024-05-29 18:39:40] EDIT crm/models/db_crm.py: -2
[2024-05-29 18:40:41] EDIT crm/models/db_crm.py: 2
